ALCHEMY_SCORE,ALCHEMY_TEXT,DAY,HOUR,IMAGEBOX,MINUTE,MONTH,SECOND,VISUAL_IMAGE,YEAR,_ID,_REV,ARRAY_INDEX,CLASSIFIER_ID,NAME,SCORE,_ID
0.999629,person,03,11,158x398+242+56,50,04,58,20160403115058-153-00.jpg,2016,20160403115058-153-00,1-f341087e7be990fe96733f42c1f33659,22,Bar,Bar,0.516477,20160403115058-153-00
0.999629,person,03,11,158x398+242+56,50,04,58,20160403115058-153-00.jpg,2016,20160403115058-153-00,1-f341087e7be990fe96733f42c1f33659,21,Store,Store,0.548638,20160403115058-153-00
0.999629,person,03,11,158x398+242+56,50,04,58,20160403115058-153-00.jpg,2016,20160403115058-153-00,1-f341087e7be990fe96733f42c1f33659,20,Beer,Beer,0.569841,20160403115058-153-00
0.999629,person,03,11,158x398+242+56,50,04,58,20160403115058-153-00.jpg,2016,20160403115058-153-00,1-f341087e7be990fe96733f42c1f33659,19,Whiskey,Whiskey,0.576598,20160403115058-153-00
0.999629,person,03,11,158x398+242+56,50,04,58,20160403115058-153-00.jpg,2016,20160403115058-153-00,1-f341087e7be990fe96733f42c1f33659,18,Adult,Adult,0.579184,20160403115058-153-00
0.999629,person,03,11,158x398+242+56,50,04,58,20160403115058-153-00.jpg,2016,20160403115058-153-00,1-f341087e7be990fe96733f42c1f33659,17,People,People,0.59671,20160403115058-153-00
0.999629,person,03,11,158x398+242+56,50,04,58,20160403115058-153-00.jpg,2016,20160403115058-153-00,1-f341087e7be990fe96733f42c1f33659,16,Clubbing,Clubbing,0.653471,20160403115058-153-00
0.999629,person,03,11,158x398+242+56,50,04,58,20160403115058-153-00.jpg,2016,20160403115058-153-00,1-f341087e7be990fe96733f42c1f33659,15,Living_Room,Living_Room,0.653544,20160403115058-153-00
0.999629,person,03,11,158x398+242+56,50,04,58,20160403115058-153-00.jpg,2016,20160403115058-153-00,1-f341087e7be990fe96733f42c1f33659,14,Big_Group,Big_Group,0.672153,20160403115058-153-00
0.999629,person,03,11,158x398+242+56,50,04,58,20160403115058-153-00.jpg,2016,20160403115058-153-00,1-f341087e7be990fe96733f42c1f33659,13,Industrial_Space,Industrial_Space,0.675629,20160403115058-153-00
0.999629,person,03,11,158x398+242+56,50,04,58,20160403115058-153-00.jpg,2016,20160403115058-153-00,1-f341087e7be990fe96733f42c1f33659,12,Tool,Tool,0.707547,20160403115058-153-00
0.999629,person,03,11,158x398+242+56,50,04,58,20160403115058-153-00.jpg,2016,20160403115058-153-00,1-f341087e7be990fe96733f42c1f33659,11,Male_Adult,Male_Adult,0.7549,20160403115058-153-00
0.999629,person,03,11,158x398+242+56,50,04,58,20160403115058-153-00.jpg,2016,20160403115058-153-00,1-f341087e7be990fe96733f42c1f33659,10,Distillery,Distillery,0.832148,20160403115058-153-00
