ALCHEMY_SCORE,ALCHEMY_TEXT,HOUR,CLASSIFIER_ID,SCORE
,NO_TAGS,12,Appliance,0.529651
,NO_TAGS,12,Engine_Room,0.546509
,NO_TAGS,12,Riot,0.703967
,NO_TAGS,12,Table_Tennis,0.786243
,NO_TAGS,12,Stockroom,0.786985
,NO_TAGS,12,Engine_or_Control_Room,0.797845
,NO_TAGS,12,Control_Room,0.844275
,NO_TAGS,12,Bottled_Water,0.905854
,NO_TAGS,12,Oven,0.918884
,NO_TAGS,12,Pubbing,0.932051
,NO_TAGS,12,Dish_Washer,0.946289
,NO_TAGS,12,Stove,0.9644
,NO_TAGS,12,Mixed_Color,0.972199
,NO_TAGS,12,Auto_Track_Racing,0.514261
,NO_TAGS,12,Appliance,0.524613
,NO_TAGS,12,Car_Repair_Shop,0.573521
,NO_TAGS,12,Beauty_Salon,0.591395
,NO_TAGS,12,Engine_or_Control_Room,0.641989
,NO_TAGS,12,Table_Tennis,0.695307
,NO_TAGS,12,Riot,0.775891
,NO_TAGS,12,Stockroom,0.843733
,NO_TAGS,12,Control_Room,0.88257
,NO_TAGS,12,Microwave,0.922542
,NO_TAGS,12,Dish_Washer,0.925556
,NO_TAGS,12,Oven,0.943002
,NO_TAGS,12,Pubbing,0.944661
,NO_TAGS,12,Stove,0.953068
,NO_TAGS,12,Mixed_Color,0.969267
,NO_TAGS,12,Appliance,0.524486
,NO_TAGS,12,Car_Repair_Shop,0.726077
,NO_TAGS,12,Engine_Room,0.737986
,NO_TAGS,12,Engine_or_Control_Room,0.740159
,NO_TAGS,12,Riot,0.764061
,NO_TAGS,12,Table_Tennis,0.821452
,NO_TAGS,12,Stockroom,0.840676
,NO_TAGS,12,Microwave,0.869256
,NO_TAGS,12,Control_Room,0.89323
,NO_TAGS,12,Pubbing,0.927243
,NO_TAGS,12,Oven,0.936468
,NO_TAGS,12,Stove,0.938844
,NO_TAGS,12,Dish_Washer,0.941437
,NO_TAGS,12,Mixed_Color,0.968674
,NO_TAGS,12,Appliance,0.51862
,NO_TAGS,12,Dining_Car,0.595308
,NO_TAGS,12,Beauty_Salon,0.728588
,NO_TAGS,12,Control_Room,0.841219
,NO_TAGS,12,Stockroom,0.849632
,NO_TAGS,12,Riot,0.859442
,NO_TAGS,12,Pubbing,0.925491
,NO_TAGS,12,Dish_Washer,0.929922
,NO_TAGS,12,Bottled_Water,0.940517
,NO_TAGS,12,Stove,0.943956
,NO_TAGS,12,Oven,0.952195
,NO_TAGS,12,Mixed_Color,0.962379
0.930862,person,12,Appliance,0.504997
0.930862,person,12,Living_Room,0.51698
0.930862,person,12,Disturbance,0.549644
0.930862,person,12,Archery,0.670484
0.930862,person,12,Apiary,0.743912
0.930862,person,12,Beauty_Salon,0.768387
0.930862,person,12,Pubbing,0.811221
0.930862,person,12,Riot,0.819718
0.930862,person,12,Stockroom,0.863957
0.930862,person,12,Engine_Room,0.864444
0.930862,person,12,Microwave,0.904482
0.930862,person,12,Dish_Washer,0.918824
0.930862,person,12,Oven,0.947156
0.930862,person,12,Stove,0.954034
0.930862,person,12,Mixed_Color,0.971267
,NO_TAGS,12,Appliance,0.50907
,NO_TAGS,12,Snooker,0.522697
,NO_TAGS,12,Engine_Room,0.567648
,NO_TAGS,12,Engine_or_Control_Room,0.633806
,NO_TAGS,12,Beauty_Salon,0.68259
,NO_TAGS,12,Table_Tennis,0.764687
,NO_TAGS,12,Stockroom,0.836961
,NO_TAGS,12,Riot,0.841977
,NO_TAGS,12,Control_Room,0.882184
,NO_TAGS,12,Microwave,0.915121
,NO_TAGS,12,Dish_Washer,0.928297
,NO_TAGS,12,Pubbing,0.939633
,NO_TAGS,12,Stove,0.948736
